"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 26 17:47:52 GMT 2024","Mon Aug 26 17:48:03 GMT 2024","10909","","Add Notes","","Add Notes","add a note, save changes & verify note","add a note, save changes & verify note",""
"passed","Mon Aug 26 17:47:50 GMT 2024","Mon Aug 26 17:47:52 GMT 2024","1788","","Add Notes","","Add Notes","skip tutorial","skip tutorial",""
"failed","Mon Aug 26 17:48:03 GMT 2024","Mon Aug 26 17:48:23 GMT 2024","19596","","Add Notes","","Add Notes","Delete a note","Delete a note",""
