"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 23 19:17:15 GMT 2024","Fri Aug 23 19:17:25 GMT 2024","10802","","Add Notes","","Add Notes","add a note, save changes & verify note","add a note, save changes & verify note",""
"passed","Fri Aug 23 19:17:13 GMT 2024","Fri Aug 23 19:17:15 GMT 2024","2028","","Add Notes","","Add Notes","skip tutorial","skip tutorial",""
"failed","Fri Aug 23 19:17:25 GMT 2024","Fri Aug 23 19:17:45 GMT 2024","19212","","Add Notes","","Add Notes","Delete a note","Delete a note",""
