"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Aug 23 19:22:14 GMT 2024","Fri Aug 23 19:22:34 GMT 2024","19744","","Add Notes","","Add Notes","Delete a note","Delete a note",""
"passed","Fri Aug 23 19:22:00 GMT 2024","Fri Aug 23 19:22:03 GMT 2024","3687","","Add Notes","","Add Notes","skip tutorial","skip tutorial",""
"passed","Fri Aug 23 19:22:03 GMT 2024","Fri Aug 23 19:22:14 GMT 2024","10377","","Add Notes","","Add Notes","add a note, save changes & verify note","add a note, save changes & verify note",""
